species_id,id,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
117,sp3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,933,NA,m,pinnatus,"Kansas, USA",NA,NA,NA,NA,NA,NA,NA
117,sp3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,972,NA,m,cupido,"Massachusetts, USA",NA,NA,NA,NA,NA,NA,NA
117,sp3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,1014,NA,m,attwateri,"Texas, USA",NA,NA,NA,NA,NA,NA,NA
118,sp3070,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,730,NA,f,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
118,sp3070,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,762,NA,m,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
119,sp3100,Wild Turkey,Dindon sauvage,Meleagris gallopavo,Galliformes,Phasianidae,Meleagris,gallopavo,4300,NA,f,silvestris,"New York, USA",NA,NA,NA,NA,NA,NA,NA
119,sp3100,Wild Turkey,Dindon sauvage,Meleagris gallopavo,Galliformes,Phasianidae,Meleagris,gallopavo,7800,NA,m,silvestris,"New York, USA",NA,NA,NA,NA,NA,NA,NA
130,sp3131,Rock Pigeon,Pigeon biset,Columba livia,Columbiformes,Columbidae,Columba,livia,340,34.7,f,NA,"Kansas, USA",NA,NA,NA,NA,NA,NA,NA
130,sp3131,Rock Pigeon,Pigeon biset,Columba livia,Columbiformes,Columbidae,Columba,livia,369,38.6,m,NA,"Kansas, USA",NA,NA,NA,NA,NA,NA,NA
134,sp3140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,230,14,f,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
134,sp3140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,238,NA,NA,NA,Cuba,NA,NA,NA,NA,NA,NA,NA
134,sp3140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,253,31,m,NA,"Florida, USA",NA,NA,NA,NA,NA,NA,NA
135,sp3130,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,Patagioenas,flavirostris,261,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
