"species_id","id","english_common_name","french_common_name","spanish_common_name","sporder","family","genus","species"
1187,"sp6180","Bohemian Waxwing","Jaseur boréal","Bombycilla garrulus","Passeriformes","Bombycillidae","Bombycilla","garrulus"
918,"sp4630","Yellow-bellied Flycatcher","Moucherolle à ventre jaune","Empidonax flaviventris","Passeriformes","Tyrannidae","Empidonax","flaviventris"
1426,"sp6720","Palm Warbler","Paruline à couronne rousse","Setophaga palmarum","Passeriformes","Parulidae","Setophaga","palmarum"
196,"sp4220","Black Swift","Martinet sombre","Cypseloides niger","Apodiformes","Apodidae","Cypseloides","niger"
1208,"sp6970","American Pipit","Pipit d'Amérique","Anthus rubescens","Passeriformes","Motacillidae","Anthus","rubescens"
781,"sp3560","Peregrine Falcon","Faucon pèlerin","Falco peregrinus","Falconiformes","Falconidae","Falco","peregrinus"
1464,"sp5930","Northern Cardinal","Cardinal rouge","Cardinalis cardinalis","Passeriformes","Cardinalidae","Cardinalis","cardinalis"
744,"sp4000","Black-backed Woodpecker","Pic à dos noir","Picoides arcticus","Piciformes","Picidae","Picoides","arcticus"
1440,"sp6670","Black-throated Green Warbler","Paruline à gorge noire","Setophaga virens","Passeriformes","Parulidae","Setophaga","virens"
1420,"sp6600","Bay-breasted Warbler","Paruline à poitrine baie","Setophaga castanea","Passeriformes","Parulidae","Setophaga","castanea"
1068,"sp7222","Winter Wren","Troglodyte des forêts","Troglodytes hiemalis","Passeriformes","Troglodytidae","Troglodytes","hiemalis"
1445,"sp6860","Canada Warbler","Paruline du Canada","Cardellina canadensis","Passeriformes","Parulidae","Cardellina","canadensis"
1400,"sp6450","Nashville Warbler","Paruline à joues grises","Oreothlypis ruficapilla","Passeriformes","Parulidae","Oreothlypis","ruficapilla"
119,"sp3100","Wild Turkey","Dindon sauvage","Meleagris gallopavo","Galliformes","Phasianidae","Meleagris","gallopavo"
987,"sp4780","Steller's Jay","Geai de Steller","Cyanocitta stelleri","Passeriformes","Corvidae","Cyanocitta","stelleri"
1225,"sp5240","Gray-crowned Rosy-Finch","Roselin à tête grise","Leucosticte tephrocotis","Passeriformes","Fringillidae","Leucosticte","tephrocotis"
1344,"sp5010","Eastern Meadowlark","Sturnelle des prés","Sturnella magna","Passeriformes","Icteridae","Sturnella","magna"
729,"sp4060","Red-headed Woodpecker","Pic à tête rouge","Melanerpes erythrocephalus","Piciformes","Picidae","Melanerpes","erythrocephalus"
1423,"sp6590","Chestnut-sided Warbler","Paruline à flancs marron","Setophaga pensylvanica","Passeriformes","Parulidae","Setophaga","pensylvanica"
1297,"sp5590","American Tree Sparrow","Bruant hudsonien","Spizelloides arborea","Passeriformes","Passerellidae","Spizelloides","arborea"
1133,"sp7660","Eastern Bluebird","Merlebleu de l'Est","Sialia sialis","Passeriformes","Turdidae","Sialia","sialis"
94,"sp2940","California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae","Callipepla","californica"
114,"sp2971","Sooty Grouse","Tétras fuligineux","Dendragapus fuliginosus","Galliformes","Phasianidae","Dendragapus","fuliginosus"
136,"sp3120","Band-tailed Pigeon","Pigeon à queue barrée","Patagioenas fasciata","Columbiformes","Columbidae","Patagioenas","fasciata"
202,"sp4240","Vaux's Swift","Martinet de Vaux","Chaetura vauxi","Apodiformes","Apodidae","Chaetura","vauxi"
741,"sp4030","Red-breasted Sapsucker","Pic à poitrine rouge","Sphyrapicus ruber","Piciformes","Picidae","Sphyrapicus","ruber"
959,"sp6320","Hutton's Vireo","Viréo de Hutton","Vireo huttoni","Passeriformes","Vireonidae","Vireo","huttoni"
1002,"sp4890","Northwestern Crow","Corneille d'Alaska","Corvus caurinus","Passeriformes","Corvidae","Corvus","caurinus"
1037,"sp7410","Chestnut-backed Chickadee","Mésange à dos marron","Poecile rufescens","Passeriformes","Paridae","Poecile","rufescens"
1052,"sp7430","Bushtit","Mésange buissonnière","Psaltriparus minimus","Passeriformes","Aegithalidae","Psaltriparus","minimus"
1073,"sp7190","Bewick's Wren","Troglodyte de Bewick","Thryomanes bewickii","Passeriformes","Troglodytidae","Thryomanes","bewickii"
1434,"sp6650","Black-throated Gray Warbler","Paruline grise","Setophaga nigrescens","Passeriformes","Parulidae","Setophaga","nigrescens"
1230,"sp5180","Cassin's Finch","Roselin de Cassin","Haemorhous cassinii","Passeriformes","Fringillidae","Haemorhous","cassinii"
233,"sp4290","Black-chinned Hummingbird","Colibri à gorge noire","Archilochus alexandri","Apodiformes","Trochilidae","Archilochus","alexandri"
728,"sp4080","Lewis's Woodpecker","Pic de Lewis","Melanerpes lewis","Piciformes","Picidae","Melanerpes","lewis"
1055,"sp7300","Pygmy Nuthatch","Sittelle pygmée","Sitta pygmaea","Passeriformes","Sittidae","Sitta","pygmaea"
738,"sp4040","Williamson's Sapsucker","Pic de Williamson","Sphyrapicus thyroideus","Piciformes","Picidae","Sphyrapicus","thyroideus"
1145,"sp7570","Gray-cheeked Thrush","Grive à joues grises","Catharus minimus","Passeriformes","Turdidae","Catharus","minimus"
942,"sp6210","Northern Shrike","Pie-grièche boréale","Lanius borealis","Passeriformes","Laniidae","Lanius","borealis"
1234,"sp5280","Common Redpoll","Sizerin flammé","Acanthis flammea","Passeriformes","Fringillidae","Acanthis","flammea"
1011,"sp4730","Eurasian Skylark","Alouette des champs","Alauda arvensis","Passeriformes","Alaudidae","Alauda","arvensis"
100,"sp2882","Chukar","Perdrix choukar","Alectoris chukar","Galliformes","Phasianidae","Alectoris","chukar"
926,"sp4691","Gray Flycatcher","Moucherolle gris","Empidonax wrightii","Passeriformes","Tyrannidae","Empidonax","wrightii"
235,"sp4310","Anna's Hummingbird","Colibri d'Anna","Calypte anna","Apodiformes","Trochilidae","Calypte","anna"
206,"sp4250","White-throated Swift","Martinet à gorge blanche","Aeronautes saxatalis","Apodiformes","Apodidae","Aeronautes","saxatalis"
660,"sp3470","Rough-legged Hawk","Buse pattue","Buteo lagopus","Accipitriformes","Accipitridae","Buteo","lagopus"
1180,"sp7020","Sage Thrasher","Moqueur des armoises","Oreoscoptes montanus","Passeriformes","Mimidae","Oreoscoptes","montanus"
1060,"sp7170","Canyon Wren","Troglodyte des canyons","Catherpes mexicanus","Passeriformes","Troglodytidae","Catherpes","mexicanus"
110,"sp3010","Willow Ptarmigan","Lagopède des saules","Lagopus lagopus","Galliformes","Phasianidae","Lagopus","lagopus"
111,"sp3020","Rock Ptarmigan","Lagopède alpin","Lagopus muta","Galliformes","Phasianidae","Lagopus","muta"
780,"sp3540","Gyrfalcon","Faucon gerfaut","Falco rusticolus","Falconiformes","Falconidae","Falco","rusticolus"
1235,"sp5270","Hoary Redpoll","Sizerin blanchâtre","Acanthis hornemanni","Passeriformes","Fringillidae","Acanthis","hornemanni"
1250,"sp5360","Lapland Longspur","Plectrophane lapon","Calcarius lapponicus","Passeriformes","Calcariidae","Calcarius","lapponicus"
1327,"sp5530","Harris's Sparrow","Bruant à face noire","Zonotrichia querula","Passeriformes","Passerellidae","Zonotrichia","querula"
165,"sp3870","Yellow-billed Cuckoo","Coulicou à bec jaune","Coccyzus americanus","Cuculiformes","Cuculidae","Coccyzus","americanus"
915,"sp4610","Eastern Wood-Pewee","Pioui de l'Est","Contopus virens","Passeriformes","Tyrannidae","Contopus","virens"
960,"sp6280","Yellow-throated Vireo","Viréo à gorge jaune","Vireo flavifrons","Passeriformes","Vireonidae","Vireo","flavifrons"
1276,"sp5870","Eastern Towhee","Tohi à flancs roux","Pipilo erythrophthalmus","Passeriformes","Passerellidae","Pipilo","erythrophthalmus"
1421,"sp6620","Blackburnian Warbler","Paruline à gorge orangée","Setophaga fusca","Passeriformes","Parulidae","Setophaga","fusca"
1455,"sp6080","Scarlet Tanager","Piranga écarlate","Piranga olivacea","Passeriformes","Cardinalidae","Piranga","olivacea"
1477,"sp5980","Indigo Bunting","Passerin indigo","Passerina cyanea","Passeriformes","Cardinalidae","Passerina","cyanea"
1483,"sp6040","Dickcissel","Dickcissel d'Amérique","Spiza americana","Passeriformes","Cardinalidae","Spiza","americana"
201,"sp4230","Chimney Swift","Martinet ramoneur","Chaetura pelagica","Apodiformes","Apodidae","Chaetura","pelagica"
1354,"sp5060","Orchard Oriole","Oriole des vergers","Icterus spurius","Passeriformes","Icteridae","Icterus","spurius"
1417,"sp6480","Northern Parula","Paruline à collier","Setophaga americana","Passeriformes","Parulidae","Setophaga","americana"
1149,"sp7550","Wood Thrush","Grive des bois","Hylocichla mustelina","Passeriformes","Turdidae","Hylocichla","mustelina"
1388,"sp6420","Golden-winged Warbler","Paruline à ailes dorées","Vermivora chrysoptera","Passeriformes","Parulidae","Vermivora","chrysoptera"
1427,"sp6710","Pine Warbler","Paruline des pins","Setophaga pinus","Passeriformes","Parulidae","Setophaga","pinus"
1252,"sp5370","Smith's Longspur","Plectrophane de Smith","Calcarius pictus","Passeriformes","Calcariidae","Calcarius","pictus"
1301,"sp5630","Field Sparrow","Bruant des champs","Spizella pusilla","Passeriformes","Passerellidae","Spizella","pusilla"
1146,"sp7571","Bicknell's Thrush","Grive de Bicknell","Catharus bicknelli","Passeriformes","Turdidae","Catharus","bicknelli"
1425,"sp6540","Black-throated Blue Warbler","Paruline bleue","Setophaga caerulescens","Passeriformes","Parulidae","Setophaga","caerulescens"
653,"sp3390","Red-shouldered Hawk","Buse à épaulettes","Buteo lineatus","Accipitriformes","Accipitridae","Buteo","lineatus"
737,"sp4090","Red-bellied Woodpecker","Pic à ventre roux","Melanerpes carolinus","Piciformes","Picidae","Melanerpes","carolinus"
1048,"sp7310","Tufted Titmouse","Mésange bicolore","Baeolophus bicolor","Passeriformes","Paridae","Baeolophus","bicolor"
1072,"sp7180","Carolina Wren","Troglodyte de Caroline","Thryothorus ludovicianus","Passeriformes","Troglodytidae","Thryothorus","ludovicianus"
1092,"sp7510","Blue-gray Gnatcatcher","Gobemoucheron gris-bleu","Polioptila caerulea","Passeriformes","Polioptilidae","Polioptila","caerulea"
1389,"sp6410","Blue-winged Warbler","Paruline à ailes bleues","Vermivora cyanoptera","Passeriformes","Parulidae","Vermivora","cyanoptera"
1412,"sp6840","Hooded Warbler","Paruline à capuchon","Setophaga citrina","Passeriformes","Parulidae","Setophaga","citrina"
90,"sp2890","Northern Bobwhite","Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae","Colinus","virginianus"
1315,"sp5470","Henslow's Sparrow","Bruant de Henslow","Centronyx henslowii","Passeriformes","Passerellidae","Centronyx","henslowii"
919,"sp4650","Acadian Flycatcher","Moucherolle vert","Empidonax virescens","Passeriformes","Tyrannidae","Empidonax","virescens"
1432,"sp6730","Prairie Warbler","Paruline des prés","Setophaga discolor","Passeriformes","Parulidae","Setophaga","discolor"
1386,"sp6760","Louisiana Waterthrush","Paruline hochequeue","Parkesia motacilla","Passeriformes","Parulidae","Parkesia","motacilla"
1406,"sp6770","Kentucky Warbler","Paruline du Kentucky","Geothlypis formosa","Passeriformes","Parulidae","Geothlypis","formosa"
1416,"sp6580","Cerulean Warbler","Paruline azurée","Setophaga cerulea","Passeriformes","Parulidae","Setophaga","cerulea"
952,"sp6310","White-eyed Vireo","Viréo aux yeux blancs","Vireo griseus","Passeriformes","Vireonidae","Vireo","griseus"
1414,"sp6700","Kirtland's Warbler","Paruline de Kirtland","Setophaga kirtlandii","Passeriformes","Parulidae","Setophaga","kirtlandii"
107,"sp3090","Greater Sage-Grouse","Tétras des armoises","Centrocercus urophasianus","Galliformes","Phasianidae","Centrocercus","urophasianus"
611,"sp3260","Black Vulture","Urubu noir","Coragyps atratus","Cathartiformes","Cathartidae","Coragyps","atratus"
1005,"sp4900","Fish Crow","Corneille de rivage","Corvus ossifragus","Passeriformes","Corvidae","Corvus","ossifragus"
